library,run,fastq,design
229E_tile_lib_1,229E_tile1,/fh/fast/bloom_j/SR/ngs/pacbio/240903_SheriHarari/r64272e_20240828_205739/2_B01/bc2097--bc2097/m64272e_240829_202542.hifi_reads.bc2097--bc2097.fastq.gz,Plasmid_Pool
229E_tile_lib_2,229E_tile2,/fh/fast/bloom_j/SR/ngs/pacbio/240903_SheriHarari/r64272e_20240828_205739/2_B01/bc2098--bc2098/m64272e_240829_202542.hifi_reads.bc2098--bc2098.fastq.gz,Plasmid_Pool
229E_tile_lib_3,229E_tile3,/fh/fast/bloom_j/SR/ngs/pacbio/240903_SheriHarari/r64272e_20240828_205739/2_B01/bc2099--bc2099/m64272e_240829_202542.hifi_reads.bc2099--bc2099.fastq.gz,Plasmid_Pool
229E_tile_lib_4,229E_tile4,/fh/fast/bloom_j/SR/ngs/pacbio/240903_SheriHarari/r64272e_20240828_205739/2_B01/bc2100--bc2100/m64272e_240829_202542.hifi_reads.bc2100--bc2100.fastq.gz,Plasmid_Pool
229E_tile_lib_5,229E_tile5,/fh/fast/bloom_j/SR/ngs/pacbio/240903_SheriHarari/r64272e_20240828_205739/2_B01/bc2101--bc2101/m64272e_240829_202542.hifi_reads.bc2101--bc2101.fastq.gz,Plasmid_Pool
229E_tile_lib_6,229E_tile6,/fh/fast/bloom_j/SR/ngs/pacbio/240903_SheriHarari/r64272e_20240828_205739/2_B01/bc2102--bc2102/m64272e_240829_202542.hifi_reads.bc2102--bc2102.fastq.gz,Plasmid_Pool
229E_tile_lib_7,229E_tile7,/fh/fast/bloom_j/SR/ngs/pacbio/240903_SheriHarari/r64272e_20240828_205739/2_B01/bc2103--bc2103/m64272e_240829_202542.hifi_reads.bc2103--bc2103.fastq.gz,Plasmid_Pool
229E_tile_lib_8,229E_tile8,/fh/fast/bloom_j/SR/ngs/pacbio/240903_SheriHarari/r64272e_20240828_205739/2_B01/bc2104--bc2104/m64272e_240829_202542.hifi_reads.bc2104--bc2104.fastq.gz,Plasmid_Pool
229E_tile_lib_9,229E_tile9,/fh/fast/bloom_j/SR/ngs/pacbio/240903_SheriHarari/r64272e_20240828_205739/2_B01/bc2105--bc2105/m64272e_240829_202542.hifi_reads.bc2105--bc2105.fastq.gz,Plasmid_Pool
229E_tile_lib_10,229E_tile10,/fh/fast/bloom_j/SR/ngs/pacbio/240903_SheriHarari/r64272e_20240828_205739/2_B01/bc2106--bc2106/m64272e_240829_202542.hifi_reads.bc2106--bc2106.fastq.gz,Plasmid_Pool
229E_tile_lib_13,229E_tile13,/fh/fast/bloom_j/SR/ngs/pacbio/240903_SheriHarari/r64272e_20240828_205739/2_B01/bc2107--bc2107/m64272e_240829_202542.hifi_reads.bc2107--bc2107.fastq.gz,Plasmid_Pool
